roi_label,condition,modality,parcel_category,parcel_name,hemisphere,mean_beta_mean,mean_beta_std,mean_beta_sem,mean_beta_count
lh_midparietal,false_photo,auditory,md,midparietal,lh,0.2330610130163506,0.3753880966521393,0.15325154871871924,6
lh_midparietal,math,auditory,md,midparietal,lh,0.9999315630989,0.41601583589383734,0.16983775380955407,6
lh_midparietal,nonwords,auditory,md,midparietal,lh,0.2553827854473794,0.3023759030663545,0.12344444550430597,6
lh_midparietal,objects,visual,md,midparietal,lh,0.34144310994482513,0.26810288109396174,0.10945254287504622,6
lh_midparietal,quilted_speech,auditory,md,midparietal,lh,0.20853270953889036,0.22965675838471464,0.0937569790040322,6
lh_midparietal,scenes,visual,md,midparietal,lh,0.37124642144118253,0.3454824515115533,0.14104262021485608,6
lh_midparietal,words_scr_objects,visual,md,midparietal,lh,0.31734007137248366,0.2942859536971716,0.12014173750439786,6
lh_ofa,bodies,visual,julian,ofa,lh,0.41037312541283494,0.2882084352162069,0.1176606009742815,6
lh_ofa,faces,visual,julian,ofa,lh,0.7794260642565195,0.4092074112729498,0.16705822609732465,6
lh_ofa,false_belief,auditory,julian,ofa,lh,0.5103129835544485,0.32420444480201865,0.13235591035120994,6
lh_ofa,false_photo,auditory,julian,ofa,lh,0.43175116502668626,0.27286164859070794,0.11139530157030786,6
lh_ofa,math,auditory,julian,ofa,lh,0.6117337572233976,0.23291565615912818,0.095087418449233,6
lh_ofa,nonwords,auditory,julian,ofa,lh,0.5408569459627032,0.26018027022128304,0.10621815053026473,6
lh_ofa,objects,visual,julian,ofa,lh,0.4543260196035224,0.27916443438737465,0.11396840309695697,6
lh_ofa,quilted_speech,auditory,julian,ofa,lh,0.4813873018557502,0.27638822029421284,0.11283501843946198,6
lh_ofa,scenes,visual,julian,ofa,lh,0.4171521857524494,0.29091013137678184,0.11876356381318899,6
lh_ofa,words_scr_objects,visual,julian,ofa,lh,0.42204826748176333,0.18720840986335405,0.07642751328717248,6
lh_opa,bodies,visual,julian,opa,lh,0.5299050288202798,0.5275122499273138,0.2153559742315719,6
lh_opa,faces,visual,julian,opa,lh,0.38592233119641167,0.44196572034329196,0.18043174977377874,6
lh_opa,false_belief,auditory,julian,opa,lh,0.7332907182363321,0.6103286204528988,0.24916561592106384,6
lh_opa,false_photo,auditory,julian,opa,lh,0.6853561437275221,0.5939883019156513,0.24249470881259758,6
lh_opa,math,auditory,julian,opa,lh,0.6298204561715172,0.6068736174425775,0.24775511684855267,6
lh_opa,nonwords,auditory,julian,opa,lh,0.7364872851058725,0.5432894677612335,0.22179699644054562,6
lh_opa,objects,visual,julian,opa,lh,0.6309982820727463,0.46841577703484727,0.1912299402007784,6
lh_opa,quilted_speech,auditory,julian,opa,lh,0.6326059202076769,0.5888147764232639,0.2403826258746592,6
lh_opa,scenes,visual,julian,opa,lh,0.9188581872744813,0.5873297375934604,0.23977636131111948,6
lh_opa,words_scr_objects,visual,julian,opa,lh,0.9153258349043986,0.7924691904340052,0.32352419223996415,6
lh_postparietal,bodies,visual,md,postparietal,lh,0.228828910786012,0.19677247799923653,0.08033202775352641,6
lh_postparietal,faces,visual,md,postparietal,lh,0.22333997803360314,0.22719731851074135,0.09275291687998394,6
lh_postparietal,false_belief,auditory,md,postparietal,lh,0.03675496731335681,0.2032100294028014,0.082960147108805,6
lh_postparietal,false_photo,auditory,md,postparietal,lh,0.17887563686238014,0.18253022919384734,0.07451765402636527,6
lh_postparietal,math,auditory,md,postparietal,lh,0.655629387187575,0.30087166678992816,0.12283034361600119,6
lh_postparietal,nonwords,auditory,md,postparietal,lh,0.235364588554276,0.19682802580962955,0.08035470505215837,6
lh_postparietal,objects,visual,md,postparietal,lh,0.23974977129454644,0.15980574460862282,0.06524042204277496,6
lh_postparietal,quilted_speech,auditory,md,postparietal,lh,0.20039913730849776,0.20182107261889493,0.082393107876247,6
lh_postparietal,scenes,visual,md,postparietal,lh,0.33972931700408293,0.16903295383970623,0.06900741443711714,6
lh_postparietal,words_scr_objects,visual,md,postparietal,lh,0.235189857838542,0.17983800150572885,0.07341855667515142,6
lh_posttemp,bodies,visual,language,posttemp,lh,0.7398274544422141,0.46200261047142005,0.18861177591479925,6
lh_posttemp,faces,visual,language,posttemp,lh,0.6028964252075262,0.4509736685131513,0.18410922921471085,6
lh_posttemp,false_belief,auditory,language,posttemp,lh,1.4349006018412993,0.7230264266976044,0.29517430265949257,6
lh_posttemp,false_photo,auditory,language,posttemp,lh,1.1056961247386174,0.7150969683976932,0.29193711486424934,6
lh_posttemp,math,auditory,language,posttemp,lh,0.26364634981893914,0.391629065858151,0.15988189663254976,6
lh_posttemp,nonwords,auditory,language,posttemp,lh,0.24412669817138485,0.4176616346437344,0.1705096483356471,6
lh_posttemp,objects,visual,language,posttemp,lh,0.6437059827472066,0.45464535379858306,0.1856081884556097,6
lh_posttemp,quilted_speech,auditory,language,posttemp,lh,0.07190189777433602,0.20567651815559423,0.08396708692558102,6
lh_posttemp,scenes,visual,language,posttemp,lh,0.5802611314797549,0.5032588266484909,0.20545455564009596,6
lh_posttemp,words_scr_objects,visual,language,posttemp,lh,0.4810340862063323,0.46851722526853457,0.19127135626875183,6
lh_ppa,bodies,visual,julian,ppa,lh,-0.03748690370653246,0.23024860731097432,0.09399860031639058,6
lh_ppa,faces,visual,julian,ppa,lh,-0.08670330078101547,0.16208591085356178,0.0661712960142447,6
lh_ppa,false_belief,auditory,julian,ppa,lh,0.4402186062448849,0.34812170973979467,0.1421200928746283,6
lh_ppa,false_photo,auditory,julian,ppa,lh,0.15516095204311844,0.25157304353607046,0.10270426495039175,6
lh_ppa,math,auditory,julian,ppa,lh,0.033669244680592014,0.17022785496132276,0.06949523077729045,6
lh_ppa,nonwords,auditory,julian,ppa,lh,0.21604876381989815,0.16777079311460624,0.06849213947880445,6
lh_ppa,objects,visual,julian,ppa,lh,0.21235525562897054,0.2569911392546152,0.10491619326505722,6
lh_ppa,quilted_speech,auditory,julian,ppa,lh,0.2075871858843075,0.26319925066727173,0.10745064413628343,6
lh_ppa,scenes,visual,julian,ppa,lh,0.9520745114902901,0.603994666946385,0.246579790230152,6
lh_ppa,words_scr_objects,visual,julian,ppa,lh,-0.0984887445741018,0.218258287664401,0.08910357281856175,6
lh_precentral_a_precg,bodies,visual,md,precentral_a_precg,lh,0.3426252312253251,0.19554749799429508,0.07983193176065664,6
lh_precentral_a_precg,faces,visual,md,precentral_a_precg,lh,0.23907556361202376,0.15863987269318788,0.06476445682639881,6
lh_precentral_a_precg,false_belief,auditory,md,precentral_a_precg,lh,0.04148914748721602,0.2038287926547401,0.08321275614861084,6
lh_precentral_a_precg,false_photo,auditory,md,precentral_a_precg,lh,0.2378843174050879,0.28565457234784614,0.11661799082419406,6
lh_precentral_a_precg,math,auditory,md,precentral_a_precg,lh,0.9347029152886646,0.29372402756723415,0.11991233212248391,6
lh_precentral_a_precg,nonwords,auditory,md,precentral_a_precg,lh,0.18528790938203765,0.2241512029664376,0.09150934541646652,6
lh_precentral_a_precg,objects,visual,md,precentral_a_precg,lh,0.33098146638928944,0.16933752884529454,0.06913175666246658,6
lh_precentral_a_precg,quilted_speech,auditory,md,precentral_a_precg,lh,0.17348660375658898,0.16758118557971213,0.06841473252682485,6
lh_precentral_a_precg,scenes,visual,md,precentral_a_precg,lh,0.3495088163276454,0.203180856730331,0.08294823741514071,6
lh_precentral_a_precg,words_scr_objects,visual,md,precentral_a_precg,lh,0.32709310673943676,0.21337270692916288,0.08710904283547762,6
lh_precentral_b_ifgop,bodies,visual,md,precentral_b_ifgop,lh,0.3176013324030926,0.1716575066404485,0.07007888363125231,6
lh_precentral_b_ifgop,faces,visual,md,precentral_b_ifgop,lh,0.2911627011023666,0.14558246365765237,0.059433791909754057,6
lh_precentral_b_ifgop,false_belief,auditory,md,precentral_b_ifgop,lh,0.19283891348435978,0.1930185704783019,0.07879950142554541,6
lh_precentral_b_ifgop,false_photo,auditory,md,precentral_b_ifgop,lh,0.32183012331568167,0.23197947338823469,0.09470522343345401,6
lh_precentral_b_ifgop,math,auditory,md,precentral_b_ifgop,lh,0.7479007733567999,0.19564321247738184,0.07987100703474945,6
lh_precentral_b_ifgop,nonwords,auditory,md,precentral_b_ifgop,lh,0.20216378385499958,0.20260883275168728,0.08271470960375507,6
lh_precentral_b_ifgop,objects,visual,md,precentral_b_ifgop,lh,0.3217785864938685,0.1314133274338361,0.053649266269031465,6
